index,hospital_name,city,state,hospital_type,beds,rating,nabh,specialties,address,latitude,longitude,disease,treatment,treatment_cost_inr,beds_for_specific_disease,patients_on_disease_beds,patients_treated_well,patients_not_treated_well
8973,Rajkot Private Hospital 1351,Rajkot,Gujarat,Private,89,3.9,Yes,General Medicine,"Rajkot, India",22.2811,70.8426,Blood cancer,Chemotherapy protocol with haematology-oncology supervision,492100,5,4,4,0
8974,Madurai Government Hospital 1352,Madurai,Tamil Nadu,Government,411,4,No,Cardiology,"Madurai, India",9.9454,78.144,Leukemia,Chemotherapy protocol with haematology-oncology supervision,228500,48,28,26,2
8975,Varanasi Trust Hospital 1353,Varanasi,Uttar Pradesh,Trust,762,4.8,Yes,General Medicine,"Varanasi, India",25.323,82.9471,Lymphoma,Chemotherapy/radiotherapy with haematology-oncology follow-up,409600,43,36,29,7
8976,Ahmedabad Private Hospital 1354,Ahmedabad,Gujarat,Private,999,4.1,No,Nephrology,"Ahmedabad, India",23.0495,72.538,Brain cancer,Neurosurgical resection with radiotherapy/chemotherapy follow-up,351400,47,29,27,2
8977,Bengaluru Government Hospital 1355,Bengaluru,Karnataka,Government,818,4.2,No,General Medicine,"Bengaluru, India",12.9467,77.5867,Ovarian cancer,Surgery with chemotherapy as per oncology protocol,322700,19,13,10,3
8978,Bhopal Trust Hospital 1356,Bhopal,Madhya Pradesh,Trust,1196,4.1,No,General Medicine,"Bhopal, India",23.2744,77.3696,Pancreatic cancer,Surgical/chemotherapy management as per oncology protocol,332100,70,52,46,6
8979,Chandigarh Private Hospital 1357,Chandigarh,Chandigarh,Private,1076,4,Yes,General Medicine,"Chandigarh, India",30.715,76.7938,Thyroid cancer,Surgical resection with radioactive iodine therapy as indicated,142700,86,52,43,9
8980,Chennai Government Hospital 1358,Chennai,Tamil Nadu,Government,441,4.4,No,Cardiology,"Chennai, India",13.1085,80.2761,Skin cancer,Surgical excision with follow-up dermatological oncology care,36500,24,18,15,3
8981,Coimbatore Trust Hospital 1359,Coimbatore,Tamil Nadu,Trust,1112,4.2,No,Oncology,"Coimbatore, India",11.0182,76.9993,Fracture,Reduction and immobilisation with surgical fixation if needed,44300,73,47,41,6
8982,Delhi Private Hospital 1360,Delhi,Delhi,Private,1065,3.9,No,Nephrology,"Delhi, India",28.5997,77.1749,Osteoarthritis,Pain management and physiotherapy with joint replacement if severe,145200,120,98,88,10
8983,Hyderabad Government Hospital 1361,Hyderabad,Telangana,Government,666,3.9,No,General Medicine,"Hyderabad, India",17.3682,78.5283,Rheumatoid arthritis,Disease-modifying antirheumatic therapy with monitoring,28100,34,19,18,1
8984,Indore Trust Hospital 1362,Indore,Madhya Pradesh,Trust,517,3.6,Yes,General Medicine,"Indore, India",22.7278,75.8862,Osteoporosis,Calcium/vitamin D and bone-strengthening medication,6900,13,8,8,0
8985,Kolkata Private Hospital 1363,Kolkata,West Bengal,Private,994,4,No,General Medicine,"Kolkata, India",22.5647,88.3425,Gout,Anti-inflammatory medication with dietary and lifestyle management,1700,95,79,74,5
8986,Mangaluru Government Hospital 1364,Mangaluru,Karnataka,Government,701,4.5,Yes,General Medicine,"Mangaluru, India",12.8948,74.8355,Back pain,Physiotherapy with analgesics and posture correction,1200,59,42,35,7
8987,Mumbai Trust Hospital 1365,Mumbai,Maharashtra,Trust,877,4,Yes,General Medicine,"Mumbai, India",19.071,72.8974,Neck pain,Physiotherapy with analgesics and posture correction,6100,67,46,44,2
8988,Pune Private Hospital 1366,Pune,Maharashtra,Private,421,4.8,No,General Medicine,"Pune, India",18.5526,73.8634,Scoliosis,Bracing with corrective surgery if severe,160200,26,24,21,3
8989,Mysuru Government Hospital 1367,Mysuru,Karnataka,Government,945,4.2,Yes,General Medicine,"Mysuru, India",12.2514,76.6591,Tendinitis,"Rest, physiotherapy and anti-inflammatory medication",3200,82,46,41,5
8990,Ranchi Trust Hospital 1368,Ranchi,Jharkhand,Trust,551,3.7,Yes,General Medicine,"Ranchi, India",23.3691,85.3332,Sports injuries,"Physiotherapy with rest and, if needed, surgical repair",27600,44,34,32,2
8991,Tiruchirappalli Private Hospital 1369,Tiruchirappalli,Tamil Nadu,Private,964,4.2,No,General Medicine,"Tiruchirappalli, India",10.7678,78.7026,Bone cancer,Surgical resection with chemotherapy/radiotherapy as indicated,675400,56,38,33,5
8992,Jaipur Government Hospital 1370,Jaipur,Rajasthan,Government,687,4.3,No,Cardiology,"Jaipur, India",26.9343,75.8103,Cataract,Phacoemulsification surgery with intraocular lens implant,20200,42,37,36,1
8993,Lucknow Trust Hospital 1371,Lucknow,Uttar Pradesh,Trust,883,3.9,Yes,General Medicine,"Lucknow, India",26.8796,80.9664,Glaucoma,Pressure-lowering eye drops with laser/surgical management if needed,19900,39,34,28,6
8994,Kanpur Private Hospital 1372,Kanpur,Uttar Pradesh,Private,966,4,Yes,Nephrology,"Kanpur, India",26.4458,80.3216,Conjunctivitis,Antibiotic/antiviral eye drops with hygiene counselling,3300,53,40,35,5
8995,Nagpur Government Hospital 1373,Nagpur,Maharashtra,Government,126,3.8,Yes,General Medicine,"Nagpur, India",21.1165,79.124,Macular degeneration,Anti-VEGF injections with regular ophthalmic monitoring,24800,14,9,7,2
8996,Surat Trust Hospital 1374,Surat,Gujarat,Trust,585,3.7,No,General Medicine,"Surat, India",21.1637,72.8247,Retinal detachment,Surgical repair with post-operative ophthalmic follow-up,20100,37,21,19,2
8997,Vadodara Private Hospital 1375,Vadodara,Gujarat,Private,327,4.2,No,General Medicine,"Vadodara, India",22.2987,73.222,Dry eye disease,Lubricating eye drops with lifestyle modification,4600,26,21,17,4
8998,Patna Government Hospital 1376,Patna,Bihar,Government,266,4,Yes,Cardiology,"Patna, India",25.6232,85.1126,Corneal disease,Medical management with corneal transplant if indicated,68900,16,9,7,2
8999,Bhubaneswar Trust Hospital 1377,Bhubaneswar,Odisha,Trust,676,4,Yes,Oncology,"Bhubaneswar, India",20.3154,85.8047,Refractive errors,Corrective lenses/refractive surgery as indicated,27700,77,57,47,10
9000,Visakhapatnam Private Hospital 1378,Visakhapatnam,Andhra Pradesh,Private,1119,4.6,Yes,Nephrology,"Visakhapatnam, India",17.6664,83.2568,Blindness,Ophthalmic evaluation with corrective/surgical intervention where possible,98400,124,98,84,14
9001,Vijayawada Government Hospital 1379,Vijayawada,Andhra Pradesh,Government,1191,4.1,No,General Medicine,"Vijayawada, India",16.5035,80.62,Acne,Topical retinoids/antibiotics with dermatology follow-up,2300,87,49,47,2
9002,Kochi Trust Hospital 1380,Kochi,Kerala,Trust,834,4.2,No,General Medicine,"Kochi, India",9.918,76.308,Eczema,Topical steroids/moisturisers with trigger avoidance,4200,56,32,26,6
9003,Thiruvananthapuram Private Hospital 1381,Thiruvananthapuram,Kerala,Private,795,4,Yes,General Medicine,"Thiruvananthapuram, India",8.4918,76.9009,Psoriasis,Topical/systemic therapy with dermatology follow-up,12600,57,52,41,11
9004,Kozhikode Government Hospital 1382,Kozhikode,Kerala,Government,172,4.1,Yes,General Medicine,"Kozhikode, India",11.2499,75.8092,Dermatitis,Topical corticosteroids/emollients with trigger avoidance,2000,8,6,5,1
9005,Guwahati Trust Hospital 1383,Guwahati,Assam,Trust,506,4.3,No,General Medicine,"Guwahati, India",26.1657,91.7511,Fungal infections,Topical/oral antifungal therapy with hygiene measures,3800,18,15,14,1
9006,Amritsar Private Hospital 1384,Amritsar,Punjab,Private,1173,4.4,Yes,General Medicine,"Amritsar, India",31.6217,74.8822,Scabies,Topical scabicide with hygiene measures,3500,98,65,61,4
9007,Ludhiana Government Hospital 1385,Ludhiana,Punjab,Government,422,4.2,No,General Medicine,"Ludhiana, India",30.8858,75.8489,Vitiligo,Topical therapy/phototherapy with dermatology follow-up,3500,21,12,11,1
9008,Jalandhar Trust Hospital 1386,Jalandhar,Punjab,Trust,622,4,Yes,General Medicine,"Jalandhar, India",31.3552,75.601,Urticaria,Antihistamines with allergen avoidance counselling,3100,49,37,30,7
9009,Dehradun Private Hospital 1387,Dehradun,Uttarakhand,Private,1039,4.1,No,General Medicine,"Dehradun, India",30.277,78.0512,Skin infections,Topical/oral antibiotics with wound care,2900,81,72,60,12
9010,Noida Government Hospital 1388,Noida,Uttar Pradesh,Government,527,4.4,No,Cardiology,"Noida, India",28.5167,77.4274,Anemia,Iron/vitamin supplementation with dietary correction and monitoring,3100,54,32,26,6
9011,Gurugram Trust Hospital 1389,Gurugram,Haryana,Trust,451,4.5,No,General Medicine,"Gurugram, India",28.43,77.0114,Iron-deficiency anemia,Iron supplementation with dietary correction,5000,33,29,24,5
9012,Nashik Private Hospital 1390,Nashik,Maharashtra,Private,467,4.1,No,Nephrology,"Nashik, India",20.0153,73.7675,Sickle-cell disease,Pain management and transfusion therapy with monitoring,115000,23,21,20,1
9013,Rajkot Trust Hospital 1392,Rajkot,Gujarat,Trust,853,4.2,Yes,General Medicine,"Rajkot, India",22.3014,70.8149,Thalassemia,Regular blood transfusion with iron-chelation therapy,64600,65,39,37,2
9014,Madurai Private Hospital 1393,Madurai,Tamil Nadu,Private,361,3.4,No,General Medicine,"Madurai, India",9.9116,78.1288,Hemophilia,Factor-replacement therapy with haematology monitoring,266900,17,15,12,3
9015,Varanasi Government Hospital 1394,Varanasi,Uttar Pradesh,Government,939,3.8,Yes,Cardiology,"Varanasi, India",25.3138,82.9779,Blood-clotting disorders,Anticoagulant/factor-replacement therapy with haematology monitoring,29400,21,12,10,2
9016,Ahmedabad Trust Hospital 1395,Ahmedabad,Gujarat,Trust,202,4.3,Yes,Oncology,"Ahmedabad, India",23.0033,72.535,Depression,Psychotherapy with antidepressant medication as needed,12700,20,14,12,2
9017,Bengaluru Private Hospital 1396,Bengaluru,Karnataka,Private,326,3.7,No,Nephrology,"Bengaluru, India",12.9957,77.5619,Anxiety disorders,Counselling/psychotherapy with anxiolytic medication as needed,22500,10,6,6,0
9018,Bhopal Government Hospital 1397,Bhopal,Madhya Pradesh,Government,253,4.5,Yes,General Medicine,"Bhopal, India",23.3042,77.396,Bipolar disorder,Mood-stabilising medication with psychiatric follow-up,7800,18,17,14,3
9019,Chandigarh Trust Hospital 1398,Chandigarh,Chandigarh,Trust,569,4.5,No,General Medicine,"Chandigarh, India",30.7445,76.7726,Schizophrenia,Antipsychotic medication with psychiatric follow-up,29100,48,37,30,7
9020,Chennai Private Hospital 1399,Chennai,Tamil Nadu,Private,1120,3.8,Yes,General Medicine,"Chennai, India",13.0611,80.2956,Obsessive-compulsive disorder (OCD),Psychotherapy with medication management,19100,83,62,55,7
9021,Coimbatore Government Hospital 1400,Coimbatore,Tamil Nadu,Government,321,3.8,No,General Medicine,"Coimbatore, India",10.9881,76.9351,PTSD,Psychotherapy with medication management as needed,6700,28,20,16,4
9022,Delhi Trust Hospital 1401,Delhi,Delhi,Trust,868,4,Yes,General Medicine,"Delhi, India",28.6293,77.1781,ADHD,Behavioural therapy with stimulant/non-stimulant medication management,16600,48,42,37,5
9023,Hyderabad Private Hospital 1402,Hyderabad,Telangana,Private,1135,4,No,General Medicine,"Hyderabad, India",17.4262,78.5026,Eating disorders,Psychotherapy and nutritional rehabilitation with medical monitoring,48000,91,82,76,6
9024,Indore Government Hospital 1403,Indore,Madhya Pradesh,Government,211,4.5,Yes,General Medicine,"Indore, India",22.6931,75.8393,Substance-use disorders,De-addiction programme with counselling and medical support,6500,14,10,9,1
9025,Kolkata Trust Hospital 1404,Kolkata,West Bengal,Trust,229,4.4,No,General Medicine,"Kolkata, India",22.6048,88.3577,Endometriosis,Hormonal therapy with surgical management if indicated,23000,14,11,9,2
9026,Mangaluru Private Hospital 1405,Mangaluru,Karnataka,Private,591,4.6,Yes,General Medicine,"Mangaluru, India",12.8803,74.8414,Uterine fibroids,Hormonal therapy with surgical management if indicated,131400,24,17,14,3
9027,Mumbai Government Hospital 1406,Mumbai,Maharashtra,Government,312,3.9,No,Cardiology,"Mumbai, India",19.0771,72.8787,Pregnancy complications,Specialist obstetric monitoring and management,12300,18,11,9,2
9028,Pune Trust Hospital 1407,Pune,Maharashtra,Trust,252,3.6,No,General Medicine,"Pune, India",18.5047,73.8286,Preeclampsia,Blood-pressure management with close maternal-foetal monitoring,55000,5,4,3,1
9029,Mysuru Private Hospital 1408,Mysuru,Karnataka,Private,512,3.8,Yes,Nephrology,"Mysuru, India",12.269,76.6353,Ectopic pregnancy,Emergency surgical management with post-operative care,63500,39,26,23,3
9030,Ranchi Government Hospital 1409,Ranchi,Jharkhand,Government,689,4.1,No,General Medicine,"Ranchi, India",23.3237,85.3486,Testicular cancer,Surgery with chemotherapy as per oncology protocol,84700,52,31,27,4
9031,Tiruchirappalli Trust Hospital 1410,Tiruchirappalli,Tamil Nadu,Trust,455,4.6,Yes,General Medicine,"Tiruchirappalli, India",10.7849,78.6958,Erectile dysfunction,Medical therapy with counselling and lifestyle modification,12000,15,14,12,2
9032,Jaipur Private Hospital 1411,Jaipur,Rajasthan,Private,1046,4.4,No,General Medicine,"Jaipur, India",26.928,75.8244,Infertility,Fertility evaluation with medical/assisted reproductive treatment,162400,73,65,53,12
9033,Lucknow Government Hospital 1412,Lucknow,Uttar Pradesh,Government,445,4.4,No,Cardiology,"Lucknow, India",26.8306,80.9222,Testicular disorders,Urological evaluation with medical/surgical management,7000,43,40,32,8
9034,Kanpur Trust Hospital 1413,Kanpur,Uttar Pradesh,Trust,891,3.7,No,Oncology,"Kanpur, India",26.465,80.3015,Childhood pneumonia,Antibiotics with oxygen support and paediatric monitoring,18600,18,16,14,2
9035,Nagpur Private Hospital 1414,Nagpur,Maharashtra,Private,111,4.3,No,Nephrology,"Nagpur, India",21.1565,79.1188,Diarrheal diseases,Oral rehydration therapy with dietary management,5500,8,6,5,1
9036,Surat Government Hospital 1415,Surat,Gujarat,Government,1185,3.7,No,General Medicine,"Surat, India",21.1874,72.8142,Malnutrition,Nutritional rehabilitation with dietary supplementation,8000,136,122,102,20
9037,Vadodara Trust Hospital 1416,Vadodara,Gujarat,Trust,798,3.8,Yes,General Medicine,"Vadodara, India",22.3296,73.1737,Childhood cancers,Paediatric chemotherapy protocol with specialist oncology care,157900,71,53,50,3
9038,Patna Private Hospital 1417,Patna,Bihar,Private,347,4.4,Yes,General Medicine,"Patna, India",25.6013,85.1636,Burns,Wound debridement and dressing with skin grafting if severe,154000,14,10,10,0
9039,Bhubaneswar Government Hospital 1418,Bhubaneswar,Odisha,Government,675,3.2,Yes,General Medicine,"Bhubaneswar, India",20.3158,85.8303,Fractures,Reduction and immobilisation with surgical fixation if needed,9800,63,57,52,5
9040,Visakhapatnam Trust Hospital 1419,Visakhapatnam,Andhra Pradesh,Trust,318,4,Yes,General Medicine,"Visakhapatnam, India",17.6583,83.181,Road-traffic injuries,Emergency trauma care with surgical management as required,89100,19,13,12,1
9041,Vijayawada Private Hospital 1420,Vijayawada,Andhra Pradesh,Private,724,4.5,Yes,General Medicine,"Vijayawada, India",16.4744,80.6809,Poisoning,Emergency decontamination and antidote therapy with monitoring,46000,83,50,44,6
9042,Kochi Government Hospital 1421,Kochi,Kerala,Government,508,4.6,Yes,General Medicine,"Kochi, India",9.9651,76.2632,Snakebite,Antivenom therapy with intensive monitoring,35100,21,19,17,2
9043,Thiruvananthapuram Trust Hospital 1422,Thiruvananthapuram,Kerala,Trust,189,4.4,No,General Medicine,"Thiruvananthapuram, India",8.5495,76.9413,Animal bites,Wound care with rabies immunoglobulin and vaccination course,5300,22,16,14,2
9044,Kozhikode Private Hospital 1423,Kozhikode,Kerala,Private,1122,4.1,No,General Medicine,"Kozhikode, India",11.2193,75.798,Heatstroke,Emergency cooling with fluid resuscitation and monitoring,16600,41,30,24,6
9045,Guwahati Government Hospital 1424,Guwahati,Assam,Government,618,4.4,No,Cardiology,"Guwahati, India",26.1264,91.7082,Dehydration,Oral/IV fluid and electrolyte replacement,3300,19,14,13,1
9046,Amritsar Trust Hospital 1425,Amritsar,Punjab,Trust,719,4.1,No,General Medicine,"Amritsar, India",31.5956,74.8656,Sepsis,Emergency IV antibiotics with intensive-care monitoring,51800,52,33,32,1
9047,Ludhiana Private Hospital 1426,Ludhiana,Punjab,Private,687,4.6,Yes,Nephrology,"Ludhiana, India",30.8981,75.8694,Allergic reactions,Antihistamines and corticosteroids with allergen avoidance counselling,4800,63,40,35,5
9048,Jalandhar Government Hospital 1427,Jalandhar,Punjab,Government,1133,3.8,Yes,General Medicine,"Jalandhar, India",31.3289,75.6136,Dengue,Supportive care with fluid management and platelet monitoring,2000,108,96,78,18
9049,Dehradun Trust Hospital 1428,Dehradun,Uttarakhand,Trust,1069,3.9,Yes,General Medicine,"Dehradun, India",30.3295,78.0554,Malaria,Antimalarial medication with supportive care and monitoring,3900,48,42,38,4
9050,Noida Private Hospital 1429,Noida,Uttar Pradesh,Private,584,3.4,Yes,General Medicine,"Noida, India",28.5413,77.3495,Tuberculosis (TB),Multi-drug anti-tubercular therapy with monitoring,5900,67,60,53,7
9051,Gurugram Government Hospital 1430,Gurugram,Haryana,Government,504,4,Yes,Cardiology,"Gurugram, India",28.446,77.0622,Typhoid,Antibiotic therapy with supportive care and hydration,2000,42,29,23,6
9052,Nashik Trust Hospital 1431,Nashik,Maharashtra,Trust,541,3.9,No,Oncology,"Nashik, India",19.9874,73.7788,Cholera,Oral/IV rehydration therapy with antibiotics as indicated,7200,41,38,35,3
9053,Rajkot Government Hospital 1433,Rajkot,Gujarat,Government,377,4.1,Yes,General Medicine,"Rajkot, India",22.2674,70.7623,Chikungunya,Supportive care with analgesics and hydration,1500,38,30,27,3
9054,Madurai Trust Hospital 1434,Madurai,Tamil Nadu,Trust,612,4.2,Yes,General Medicine,"Madurai, India",9.8886,78.0961,Japanese Encephalitis,Supportive neuro-critical care with intensive monitoring,70400,43,35,28,7
9055,Varanasi Private Hospital 1435,Varanasi,Uttar Pradesh,Private,577,4.5,No,General Medicine,"Varanasi, India",25.3481,82.9675,Hepatitis A,Supportive care with rest and dietary management,13000,51,39,38,1
9056,Ahmedabad Government Hospital 1436,Ahmedabad,Gujarat,Government,665,3.6,Yes,General Medicine,"Ahmedabad, India",22.9781,72.5742,Hepatitis B,Antiviral therapy with regular liver-function monitoring,5200,32,19,16,3
9057,Bengaluru Trust Hospital 1437,Bengaluru,Karnataka,Trust,84,4.3,Yes,General Medicine,"Bengaluru, India",12.9359,77.6138,Hepatitis C,Direct-acting antiviral therapy with liver-function monitoring,27600,3,2,2,0
9058,Bhopal Private Hospital 1438,Bhopal,Madhya Pradesh,Private,268,3.9,No,General Medicine,"Bhopal, India",23.2973,77.4407,Hepatitis E,Supportive care with rest and hydration,13300,31,25,20,5
9059,Chandigarh Government Hospital 1439,Chandigarh,Chandigarh,Government,381,4.9,No,General Medicine,"Chandigarh, India",30.7335,76.769,HIV/AIDS,Antiretroviral therapy with regular immunological monitoring,26500,44,34,28,6
9060,Chennai Trust Hospital 1440,Chennai,Tamil Nadu,Trust,503,3.8,Yes,General Medicine,"Chennai, India",13.1264,80.2993,COVID-19,Supportive care with antivirals/oxygen therapy as required,106900,59,40,38,2
9061,Coimbatore Private Hospital 1441,Coimbatore,Tamil Nadu,Private,453,3.5,No,General Medicine,"Coimbatore, India",11.0105,76.9976,Influenza,Antiviral and supportive care with rest and hydration,6400,24,15,13,2
9062,Delhi Government Hospital 1442,Delhi,Delhi,Government,827,4.5,No,Cardiology,"Delhi, India",28.6266,77.2397,Pneumonia,Antibiotic therapy with oxygen support and monitoring,9900,96,75,65,10
9063,Hyderabad Trust Hospital 1443,Hyderabad,Telangana,Trust,757,4,No,General Medicine,"Hyderabad, India",17.3843,78.4807,Rabies,Post-exposure prophylaxis with wound care and vaccination,9800,86,78,75,3
9064,Indore Private Hospital 1444,Indore,Madhya Pradesh,Private,692,3.8,Yes,Nephrology,"Indore, India",22.6822,75.8826,Measles,Supportive care with vitamin A supplementation,5400,64,36,30,6
9065,Kolkata Government Hospital 1445,Kolkata,West Bengal,Government,1041,3.9,No,General Medicine,"Kolkata, India",22.5709,88.3494,Mumps,Supportive care with symptomatic management,1900,124,83,75,8
9066,Mangaluru Trust Hospital 1446,Mangaluru,Karnataka,Trust,873,3.2,Yes,General Medicine,"Mangaluru, India",12.9145,74.8116,Chickenpox,Antiviral and supportive care with symptomatic management,2900,52,38,33,5
9067,Mumbai Private Hospital 1447,Mumbai,Maharashtra,Private,321,4,No,General Medicine,"Mumbai, India",19.0457,72.8565,Viral fever,Supportive care with antipyretics and hydration,2600,10,8,7,1
9068,Pune Government Hospital 1448,Pune,Maharashtra,Government,1000,4.6,Yes,Cardiology,"Pune, India",18.5365,73.8324,Leptospirosis,Antibiotic therapy with supportive care and monitoring,20000,57,36,31,5
9069,Mysuru Trust Hospital 1449,Mysuru,Karnataka,Trust,967,3.9,Yes,Oncology,"Mysuru, India",12.2563,76.6656,Scrub typhus,Antibiotic therapy with supportive care and monitoring,6100,103,58,54,4
9070,Ranchi Private Hospital 1450,Ranchi,Jharkhand,Private,333,3.9,No,Nephrology,"Ranchi, India",23.3147,85.3326,Amoebiasis,Antiparasitic medication with hydration and dietary support,4900,27,21,18,3
9071,Tiruchirappalli Government Hospital 1451,Tiruchirappalli,Tamil Nadu,Government,957,3.3,Yes,General Medicine,"Tiruchirappalli, India",10.8017,78.7222,Giardiasis,Antiparasitic medication with supportive care,2500,64,57,52,5
9072,Jaipur Trust Hospital 1452,Jaipur,Rajasthan,Trust,1129,4.4,Yes,General Medicine,"Jaipur, India",26.88,75.7547,Food poisoning,Supportive care with rehydration and antibiotics if indicated,700,67,40,34,6
9073,Lucknow Private Hospital 1453,Lucknow,Uttar Pradesh,Private,665,3.7,Yes,General Medicine,"Lucknow, India",26.8146,80.9488,Cardiac arrhythmia,Antiarrhythmic medication with pacemaker/ablation if indicated,249200,29,25,24,1
9074,Kanpur Government Hospital 1454,Kanpur,Uttar Pradesh,Government,1090,4.6,No,General Medicine,"Kanpur, India",26.4103,80.3284,Coronary artery disease,Medication with angioplasty/bypass surgery as indicated,117200,41,29,26,3
9075,Nagpur Trust Hospital 1455,Nagpur,Maharashtra,Trust,854,4.3,No,General Medicine,"Nagpur, India",21.1499,79.0567,Heart attack (Myocardial infarction),Emergency angioplasty/thrombolysis with cardiac rehabilitation,263300,65,59,47,12
9076,Surat Private Hospital 1456,Surat,Gujarat,Private,1124,4.1,No,General Medicine,"Surat, India",21.144,72.8223,Heart failure,Medication management with lifestyle modification and monitoring,88700,106,68,61,7
9077,Vadodara Government Hospital 1457,Vadodara,Gujarat,Government,644,4.1,No,General Medicine,"Vadodara, India",22.2879,73.1822,Hypertension,Antihypertensive medication and monitoring,3100,59,55,43,12
9078,Patna Trust Hospital 1458,Patna,Bihar,Trust,315,4.2,Yes,General Medicine,"Patna, India",25.5567,85.1588,Cardiomyopathy,Heart-failure medication with lifestyle management and monitoring,82300,33,28,27,1
9079,Bhubaneswar Private Hospital 1459,Bhubaneswar,Odisha,Private,1048,4.1,No,General Medicine,"Bhubaneswar, India",20.2835,85.8548,Valvular heart disease,Medication with valve repair/replacement surgery if indicated,239000,30,25,21,4
9080,Visakhapatnam Government Hospital 1460,Visakhapatnam,Andhra Pradesh,Government,984,4,Yes,Cardiology,"Visakhapatnam, India",17.6692,83.2156,Congenital heart disease,Corrective cardiac surgery with paediatric cardiology follow-up,198600,112,85,80,5
9081,Vijayawada Trust Hospital 1461,Vijayawada,Andhra Pradesh,Trust,467,4.3,No,General Medicine,"Vijayawada, India",16.4714,80.67,Rheumatic heart disease,Antibiotic prophylaxis with valve management/surgery if indicated,188600,39,29,24,5
9082,Kochi Private Hospital 1462,Kochi,Kerala,Private,395,4.2,Yes,Nephrology,"Kochi, India",9.9456,76.3013,Peripheral artery disease,Medication with angioplasty/bypass if indicated,211600,14,9,8,1
9083,Thiruvananthapuram Government Hospital 1463,Thiruvananthapuram,Kerala,Government,881,3.9,Yes,General Medicine,"Thiruvananthapuram, India",8.51,76.9116,Deep vein thrombosis,Anticoagulant therapy with compression and monitoring,25200,19,14,12,2
9084,Kozhikode Trust Hospital 1464,Kozhikode,Kerala,Trust,781,4.1,Yes,General Medicine,"Kozhikode, India",11.2385,75.7824,Pulmonary embolism,Emergency anticoagulation with intensive monitoring,44300,70,49,46,3
9085,Guwahati Private Hospital 1465,Guwahati,Assam,Private,440,3.5,Yes,General Medicine,"Guwahati, India",26.1785,91.7076,Type 1 diabetes,Insulin therapy with dietary management and monitoring,31100,23,16,14,2
9086,Amritsar Government Hospital 1466,Amritsar,Punjab,Government,858,4.1,Yes,Cardiology,"Amritsar, India",31.5998,74.916,Type 2 diabetes,Medication and lifestyle management,2700,41,32,28,4
9087,Ludhiana Trust Hospital 1467,Ludhiana,Punjab,Trust,1123,4.4,Yes,Oncology,"Ludhiana, India",30.9119,75.8772,Gestational diabetes,Dietary management with insulin therapy and monitoring,24100,66,53,51,2
9088,Jalandhar Private Hospital 1468,Jalandhar,Punjab,Private,791,4.2,Yes,Nephrology,"Jalandhar, India",31.3,75.5688,Prediabetes,Lifestyle modification with periodic blood-sugar monitoring,3900,58,53,46,7
9089,Dehradun Government Hospital 1469,Dehradun,Uttarakhand,Government,1142,4.3,No,General Medicine,"Dehradun, India",30.3182,78.016,Diabetic foot,Wound care and debridement with vascular/infection management,33200,127,88,78,10
9090,Noida Trust Hospital 1470,Noida,Uttar Pradesh,Trust,202,3.9,No,General Medicine,"Noida, India",28.5746,77.3893,Diabetic retinopathy,Laser photocoagulation/anti-VEGF injections with monitoring,40700,17,13,12,1
9091,Gurugram Private Hospital 1471,Gurugram,Haryana,Private,524,4.8,Yes,General Medicine,"Gurugram, India",28.4377,77.0713,Diabetic kidney disease,Blood-sugar and blood-pressure control with renal monitoring,12600,53,41,39,2
9092,Nashik Government Hospital 1472,Nashik,Maharashtra,Government,386,4.4,Yes,General Medicine,"Nashik, India",20.0318,73.8008,Obesity,Dietary and lifestyle programme with medical/surgical options if indicated,23000,45,42,38,4
9093,Rajkot Private Hospital 1474,Rajkot,Gujarat,Private,406,4.6,No,General Medicine,"Rajkot, India",22.2865,70.7728,Metabolic syndrome,Lifestyle modification with medical management of risk factors,3700,29,24,20,4
9094,Madurai Government Hospital 1475,Madurai,Tamil Nadu,Government,739,4,Yes,General Medicine,"Madurai, India",9.931,78.1605,Thyroid disorders,Hormone therapy with periodic thyroid-function monitoring,1500,41,36,34,2
9095,Varanasi Trust Hospital 1476,Varanasi,Uttar Pradesh,Trust,1177,4.1,Yes,General Medicine,"Varanasi, India",25.2796,82.9729,Hypothyroidism,Thyroid hormone replacement with periodic monitoring,3200,72,54,51,3
9096,Ahmedabad Private Hospital 1477,Ahmedabad,Gujarat,Private,1030,4.8,Yes,General Medicine,"Ahmedabad, India",23.0495,72.5551,Hyperthyroidism,Antithyroid medication with periodic thyroid-function monitoring,7900,118,67,63,4
9097,Bengaluru Government Hospital 1478,Bengaluru,Karnataka,Government,799,4.4,No,Cardiology,"Bengaluru, India",13.0002,77.5598,PCOS,Hormonal and lifestyle management with periodic monitoring,7700,66,38,34,4
9098,Bhopal Trust Hospital 1479,Bhopal,Madhya Pradesh,Trust,650,3.3,Yes,General Medicine,"Bhopal, India",23.2836,77.384,Chronic kidney disease,Medication and dietary management with regular dialysis where needed,151900,42,25,21,4
9099,Chandigarh Private Hospital 1480,Chandigarh,Chandigarh,Private,229,3.9,Yes,Nephrology,"Chandigarh, India",30.7329,76.7902,End-stage renal disease,Regular dialysis with evaluation for kidney transplant,1028400,10,9,8,1
9100,Chennai Government Hospital 1481,Chennai,Tamil Nadu,Government,1096,3.9,Yes,General Medicine,"Chennai, India",13.1231,80.237,Kidney stones,Lithotripsy/surgical removal with pain management,39000,66,47,45,2
